"Order","Family","Genus","GenSp","Status"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus sternalioides","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus subangularis","end"
"COLEOPTERA","Belidae","Proterhinus","Proterhinus vulcanus","end"
"COLEOPTERA","Tenebrionidae","Labetis","Labetis hawaiiensis","end"
"COLEOPTERA","Tenebrionidae","Pseudocistela","Pseudocistela konae","end"
"COLEOPTERA","Anobiidae","Holcobius","Holcobius diversus","end"
"COLEOPTERA","Anobiidae","Holcobius","Holcobius haleakalae","end"
"COLEOPTERA","Anobiidae","Holcobius","Holcobius haleakalae chrysodytus","end"
"COLEOPTERA","Anobiidae","Holcobius","Holcobius major","end"
"COLEOPTERA","Anobiidae","Holcobius","Holcobius simulans","end"
"COLEOPTERA","Anobiidae","Lasioderma","Lasioderma serricorne","adv"
"COLEOPTERA","Anobiidae","Mirosternus","Mirosternus affinis","end"
"COLEOPTERA","Anobiidae","Mirosternus","Mirosternus carinatus","end"
"COLEOPTERA","Anobiidae","Mirosternus","Mirosternus discolor","end"
"COLEOPTERA","Anobiidae","Mirosternus","Mirosternus montanus","end"
"COLEOPTERA","Anobiidae","Mirosternus","Mirosternus plebeius","end"
"COLEOPTERA","Anobiidae","Mirosternus","Mirosternus simplex","end"
"COLEOPTERA","Anobiidae","Mirosternus","Mirosternus testaceus","end"
"COLEOPTERA","Anobiidae","Mirosternus","Mirosternus tetragonus","end"
"COLEOPTERA","Anobiidae","Tricorynus","Tricorynus herbarius","adv"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius brunneri","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius collingei","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius euphorbiae","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius flosculus","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius gossypii","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius hawaiiensis","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius kirkaldyi","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius lineatus","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius lineatus apicalis","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius nuptus kauaiensis","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius roridus","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius scotti","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius sykesii","end"
"COLEOPTERA","Anobiidae","Xyletobius","Xyletobius sykesii molokaiensis","end"
"COLEOPTERA","Anthicidae","Anthicus","Anthicus floralis","adv"
"COLEOPTERA","Anthicidae","Cyclodinus","Cyclodinus mundulus","adv"
"COLEOPTERA","Anthribidae","Araecerus","Araecerus constans","end"
"COLEOPTERA","Anthribidae","Araecerus","Araecerus fasciculatus","adv"
"COLEOPTERA","Anthribidae","Araecerus","Araecerus varians","end"
"COLEOPTERA","Anthribidae","Ormiscus","Ormiscus rectus","adv"
"COLEOPTERA","Anthribidae","Exillis","Exillis lepidus","adv"
"COLEOPTERA","Anthribidae","Mauia","Mauia satelles","adv"
"COLEOPTERA","Bostrichidae","Xylopsocus","Xylopsocus castanoptera","adv"
"COLEOPTERA","Bruchidae","Acanthoscelides","Acanthoscelides obtectus","adv"
"COLEOPTERA","Bruchidae","Callosobruchus","Callosobruchus chinensis","adv"
"COLEOPTERA","Bruchidae","Callosobruchus","Callosobruchus phaseoli","adv"
"COLEOPTERA","Bruchidae","Caryedon","Caryedon serratus","adv"
"COLEOPTERA","Bruchidae","Megacerus","Megacerus leucospilus","adv"
"COLEOPTERA","Bruchidae","Mimosestes","Mimosestes amicus","adv"
"COLEOPTERA","Bruchidae","Mimosestes","Mimosestes nubigens","adv"
"COLEOPTERA","Bruchidae","Stator","Stator limbatus","adv"
"COLEOPTERA","Bruchidae","Stator","Stator pruininus","adv"
"COLEOPTERA","Buprestidae","Chrysobothris","Chrysobothris indica","adv"
"COLEOPTERA","Cantharidae","Caccodes","Caccodes oceaniae","adv"
"COLEOPTERA","Carabidae","Bembidion","Bembidion advena","end"
"COLEOPTERA","Carabidae","Bembidion","Bembidion fulgens","end"
"COLEOPTERA","Carabidae","Bembidion","Bembidion ignicola","end"
"COLEOPTERA","Carabidae","Bembidion","Bembidion munroi brevicolle","end"
"COLEOPTERA","Carabidae","Bembidion","Bembidion perkinsi","end"
"COLEOPTERA","Carabidae","Bembidion","Bembidion spurcum","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia aaae","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia agonoides","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia anomala","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia atra","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia auana","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia brevipes","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia calathiformis","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia cephalotes","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia cheloniceps","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia constricta","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia elegans","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia erythropus","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia ewingi","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia foveolata","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia fracta","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia fulgida","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia gracilis","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia hakeakapa","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia kauwa","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia kilauea","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia kipahulu","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia lata","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia lihau","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia longula","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia lucipetens","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia mandibularis","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia medeirosi","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia moerens","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia molokaiensis","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia munroi","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia pauma","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia pavida","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia pilikua","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia sphodriformis","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia vagans","end"
"COLEOPTERA","Carabidae","Blackburnia","Blackburnia waialeale","end"
"COLEOPTERA","Carabidae","Gnathaphanus","Gnathaphanus picipes","adv"
"COLEOPTERA","Carabidae","Gnatholymnaeum","Gnatholymnaeum blackburni","end"
"COLEOPTERA","Carabidae","Gnatholymnaeum","Gnatholymnaeum spurcum","end"
"COLEOPTERA","Carabidae","Laemostenus","Laemostenus complanatus","adv"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax amaroides","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax angusticollis","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax apicalis","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax apicalis","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax chalcosus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax debilis","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax discedens","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax exilis","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax gagnei","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax gracilis","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax insolitus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax interruptus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax karschi","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax lahainae","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax macrops","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax molokaiae","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax occultus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax perkinsi","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax platysminus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax proximus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax punakukini","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax pusillus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax rufipennis","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax subunctus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax superstriatus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax terminalis","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax vitreus","end"
"COLEOPTERA","Carabidae","Mecyclothorax","Mecyclothorax williamsi","end"
"COLEOPTERA","Carabidae","Selenophorus","Selenophorus striatopunctatus","adv"
"COLEOPTERA","Carabidae","Stenolophus","Stenolophus quinquepustulatus","adv"
"COLEOPTERA","Carabidae","Trechus","Trechus obtusus","adv"
"COLEOPTERA","Cerambycidae","Curtomerus","Curtomerus flavus","adv"
"COLEOPTERA","Cerambycidae","Megopis","Megopis reflexa","end"
"COLEOPTERA","Cerambycidae","Parandra","Parandra puncticeps","end"
"COLEOPTERA","Cerambycidae","Phoracantha","Phoracantha semipunctata","adv"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus acaciae","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus aestivus","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus atricolor","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus blackburni","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus collaris","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus concolor munroi","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus davisi","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus decorus","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus finschi","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus ilicis ekeanus","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus ilicis ilicis","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus indecens kainaluensis","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus jacobii","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus lamarckianus","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus laticollis","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus longipes","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus looki keanakolui","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus mauiensis","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus medeirosi","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus newelli","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus nicotianae","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus nodifer","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus obscurus","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus pennatus","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus perkinsi","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus polystictus","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus railliardiae","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus sylvai","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus terryi","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus ukulele","end"
"COLEOPTERA","Cerambycidae","Plagithmysus","Plagithmysus yoshimotoi","end"
"COLEOPTERA","Cerambycidae","Prosoplus","Prosoplus bankii","adv"
"COLEOPTERA","Cerambycidae","Semanotus","Semanotus amethystinus","adv"
"COLEOPTERA","Cerambycidae","Sybra","Sybra alternans","adv"
"COLEOPTERA","Cerambycidae","Xystrocera","Xystrocera globosa","adv"
"COLEOPTERA","Chrysomelidae","Diachus","Diachus auratus","adv"
"COLEOPTERA","Chrysomelidae","Epitrix","Epitrix hirtipennis","adv"
"COLEOPTERA","Chrysomelidae","Lema","Lema daturaphila","adv"
