;species;Head_length;Head_width;Head_height;Nostril_height;Nostril_distance;Orbital_distance;Eye_height;Eye_size;Ear_Opening_Size;Rostral_Length;Jaw_Length;Quadrate.tip_Opening;Trunk_Length;Trunk_Width;Trunk_Height;Tail_Length;Tail_Heigth;Pectoral_Girdle_Width;Pelvic_Girdle_Width;Total_Forelimb_Length;Total_Hindlimb_Length;SVL;Microhabitat;Habitat_Type;Annual_Mean_Temp;Temp_Season;Annual_Precipitation;Prec_Season;Alt;HeadLc;HeadWc;HeadHc;NostrilDc;NostrilHc;OrbitalDc;EyeHc;EyeSc;EarOpeningc;RostralLc;JawLc;QuadrateTipLc;TrunkLc;TrunkWc;TrunkHc;TailLc;TailHc;PectoralGc;PelvicGc;Forelimbc;Hindlimbc;PC1;PC2
Aspidoscelis_inornatus;Aspidoscelis_inornatus;14.24;8.69;7.32;2.27;2.07;1.74;3.81;3.54;2.81;11.15;15.64;16.85;44.34;7.68;12.49;138.68;5.03;11.34;4.47;23.2;46.56;58.58;Ground-dwelling;Shrubland;21.4;76.33;203;48;348;0.05279499;0.076546663;0.083221837;-0.042918803;-0.02739557;-0.002298591;0.113255935;0.089313219;0.026101543;0.098871623;0.063605124;0.060241585;-0.01208042;-0.000198016;0.271728022;0.083419802;0.023671019;0.145274122;0.017178939;0.129659455;0.214395921;-23.75549968;-6.55192583
Aspidoscelis_marmoratus;Aspidoscelis_marmoratus;17.25;9.16;8.86;3.22;2;2.12;4.72;4.59;3.5;13.74;18.89;20.45;49.51;8.72;12.45;166.96;7.08;11.91;4.23;29.34;56.59;66.76;Ground-dwelling;Terrestrial;18.3;74.36;672;34;428;0.0824926;0.042555533;0.10499357;-0.107826447;0.072062123;0.046563904;0.143788727;0.142697399;0.087679392;0.13296579;0.089306886;0.092127282;-0.021625901;0.002329212;0.201749479;0.104012697;0.108779988;0.105112472;-0.043325998;0.179952343;0.252107468;-29.98943693;-7.801446784
Aspidoscelis_sexlineatus;Aspidoscelis_sexlineatus;14.55;7.98;7.32;2.55;1.76;1.81;3.91;3.97;3.26;11.32;15.75;16.61;41.69;6.82;10.72;133.86;5;9.05;3.97;23.14;47.42;56.24;Ground-dwelling;Terrestrial;17.3;70.83;1148;23;52;0.078858591;0.057264979;0.102293125;-0.097793054;0.039452242;0.026346353;0.143994832;0.157633565;0.101149086;0.123100687;0.084205312;0.070293462;-0.020929408;-0.035361623;0.226750288;0.086770922;0.040832128;0.066477443;-0.022942948;0.144652159;0.237007241;-27.40067985;-10.37363577
Aspidoscelis_tigris;Aspidoscelis_tigris;18.93;10.32;9.41;3.45;2.46;2.43;4.84;4.59;4.07;15.54;20.72;22.22;57.09;10.63;14.56;198.87;7.53;13.85;4.58;33.44;61.41;76.02;Ground-dwelling;Terrestrial;21.4;76.33;203;48;348;0.069608093;0.037828979;0.070381435;-0.06757578;0.049980933;0.069141385;0.092599079;0.083644223;0.119633405;0.130166862;0.073523692;0.076297192;-0.016841849;0.036047464;0.201585466;0.120339528;0.072582084;0.109574936;-0.045109901;0.185402834;0.240886063;-26.95865356;-5.844621229
Aspidoscelis_velox;Aspidoscelis_velox;15.28;8.32;7.4;3.11;2.03;1.97;4.11;3.94;3.4;11.84;16.49;17.77;46.34;7.6;12.19;132.11;6;10.62;3.64;25.5;52.36;61.62;Ground-dwelling;Terrestrial;21.4;76.33;203;48;348;0.062668998;0.035639232;0.06427329;-0.070733545;0.089067633;0.037326468;0.121987517;0.112804933;0.095797689;0.103033905;0.064799983;0.063121493;-0.015153966;-0.025115951;0.234622473;0.03911574;0.075731474;0.092996622;-0.086169583;0.150708588;0.247184805;-23.70070217;-6.726486083
Bachia_bresslaui;Bachia_bresslaui;8.41;4.51;3.75;1.66;1.88;1.43;1.84;1.72;1;5.05;8.18;9.59;72.59;4.19;3.78;146.83;3.26;4.26;4.1;3.11;3.92;81;Fossorial;Savanna;21.2;10.17;1573;76;1087;-0.308757317;-0.34927981;-0.358862233;-0.208609338;-0.293153879;-0.179053425;-0.357761025;-0.371487615;-0.506361168;-0.38547747;-0.357440045;-0.31397215;0.059589709;-0.393819717;-0.417378475;-0.04054433;-0.3217512;-0.432300771;-0.110928552;-0.871190397;-0.97689018;114.6566419;8.880901577
Bachia_dorbignyi;Bachia_dorbignyi;6.2;3.7;3.08;1.61;1.62;1.64;1.66;1.41;1;3.76;6.53;7.42;55.93;3.26;2.79;76.65;2.22;3.4;3.28;2.91;2.11;62.13;Fossorial;Forest;24.3;5.25;1936;73;272;-0.332441455;-0.319868328;-0.320263819;-0.171865449;-0.200169419;-0.044624303;-0.275686401;-0.337219464;-0.4378116;-0.3987002;-0.341057292;-0.319454188;0.062912551;-0.396030607;-0.410101949;-0.201091685;-0.360061978;-0.405524597;-0.133701154;-0.795197437;-1.150497101;110.854789;11.63583064
Bachia_flavescens;Bachia_flavescens;6.57;3.73;2.99;1.37;1.26;1.54;1.49;1.34;1;4.18;6.67;7.54;57.51;3.38;2.62;78.97;2.52;3.41;3.08;3.72;3.62;64.08;Fossorial;Forest;22.9;4.99;3013;46;733;-0.3199358;-0.32980598;-0.347600973;-0.292823455;-0.282656873;-0.080677228;-0.337381077;-0.373383414;-0.445798965;-0.366097623;-0.345153838;-0.324829974;0.061430184;-0.39277411;-0.453620203;-0.202328578;-0.319993449;-0.418779923;-0.169662739;-0.700765769;-0.927186565;114.1762594;6.24197615
Bachia_heteropa;Bachia_heteropa;6.22;3.32;1.87;1.32;1.5;1.82;1.37;1.13;1;3.77;5.72;6.26;46.07;3.64;2.14;51.56;2.06;3.01;2.44;4.24;3.8;52.29;Fossorial;Forest;24.4;9.86;906;38;390;-0.260362068;-0.29191752;-0.456307243;-0.139376102;-0.21733573;0.04931076;-0.276649416;-0.354970815;-0.393246448;-0.322860877;-0.324316357;-0.32441527;0.054460065;-0.27872387;-0.434819596;-0.294135911;-0.308972854;-0.377363131;-0.213987274;-0.563553201;-0.83297707;103.1797479;11.52588454
Bachia_huallagana;Bachia_huallagana;7.31;3.92;3.32;1.57;1.69;1.45;1.88;1.08;1;3.9;6.93;7.83;58.9;3.11;2.87;94.59;2.54;3.67;3.03;3.21;1.89;66.21;Fossorial;Forest;24;4.91;2403;30;650;-0.286987988;-0.322454813;-0.317431871;-0.177807344;-0.23657949;-0.116067054;-0.25204084;-0.48193055;-0.454250496;-0.410373042;-0.342629065;-0.32150008;0.057431975;-0.442096093;-0.431197252;-0.138956795;-0.332409778;-0.402243444;-0.185911287;-0.777731993;-1.221194865;112.6954705;9.678390818
