;species;Head_length;Head_width;Head_height;Nostril_height;Nostril_distance;Orbital_distance;Eye_height;Eye_size;Ear_Opening_Size;Rostral_Length;Jaw_Length;Quadrate.tip_Opening;Trunk_Length;Trunk_Width;Trunk_Height;Tail_Length;Tail_Heigth;Pectoral_Girdle_Width;Pelvic_Girdle_Width;Total_Forelimb_Length;Total_Hindlimb_Length;SVL;Microhabitat;Habitat_Type;Annual_Mean_Temp;Temp_Season;Annual_Precipitation;Prec_Season;Alt;HeadLc;HeadWc;HeadHc;NostrilDc;NostrilHc;OrbitalDc;EyeHc;EyeSc;EarOpeningc;RostralLc;JawLc;QuadrateTipLc;TrunkLc;TrunkWc;TrunkHc;TailLc;TailHc;PectoralGc;PelvicGc;Forelimbc;Hindlimbc;PC1;PC2
Loxopholis_osvaldoi;Loxopholis_osvaldoi;6.9;4.28;2.87;1.67;1.46;1.03;1.49;1.65;1.97;4.47;7.67;8.3;25.41;4.28;2.24;55.09;2.33;4.55;3.01;10.19;13.26;32.31;Ground-dwelling;Forest;26.2;5.7;1915;58;113;-0.017954233;0.027837672;-0.045038498;0.032922934;0.077702345;-0.061926045;-0.010044421;0.028307245;0.025651129;-0.040362776;0.010420635;-0.009622268;0.007617124;-0.014544111;-0.16237428;-0.044365544;-0.022132881;0.028449973;0.011763813;0.007597919;-0.117052825;2.079873249;-2.364026681
Loxopholis_parietalis;Loxopholis_parietalis;7.21;4.46;3.12;1.59;1.54;1;1.58;1.87;2.08;4.59;7.39;8.24;26;4.22;2.39;51.69;2.46;4.6;3.01;10.86;14;33.21;Ground-dwelling;Forest;25;5.65;1996;73;231;-0.01013042;0.033775853;-0.021619186;0.045588112;0.045374795;-0.082524396;0.00229276;0.070174242;0.042147164;-0.040758157;-0.01756268;-0.023746752;0.005511851;-0.031737382;-0.14864046;-0.084644459;-0.011870634;0.02027798;0.004083892;0.024391038;-0.103350491;1.959323685;-3.965822851
Loxopholis_percarinatum;Loxopholis_percarinatum;7.37;4.13;3.13;1.77;1.4;0.93;1.6;1.91;1.99;4.74;7.74;8.43;26.05;4.53;3.06;51.54;2.49;4.81;3.28;10.33;14.72;33.41;Ground-dwelling;Forest;25.3;4.97;2138;70;138;-0.003059473;-0.002221142;-0.02303842;0.001900171;0.089545206;-0.115737563;0.004885432;0.076636294;0.021385037;-0.029393245;-5.20E-05;-0.016244559;0.00370759;-0.003369108;-0.044467419;-0.088662949;-0.009516677;0.036842032;0.039712871;0.000287639;-0.083730367;-0.084020541;-3.477511582
Macropholidus_annectens;Macropholidus_annectens;9.92;6.14;4.25;1.98;1.89;1.22;2.08;1.85;2.01;6.4;10.47;11.58;35.23;7.57;6.22;126.1;4.68;7.28;4.42;14.29;23.26;45.14;Ground-dwelling;Forest;16.7;3.01;1016;49;2155;0.002632986;0.039082194;-0.030971335;0.017202594;0.017669093;-0.082864901;-0.025018211;-0.074030144;-0.052046949;-0.029333071;0.001558728;0.001447347;0.002571742;0.098471843;0.105708715;0.161766617;0.118675209;0.075338435;0.085146475;0.022247083;0.006736359;-7.273434859;7.700324081
Micrablepharus_atticolus;Micrablepharus_atticolus;6.58;4.29;3.39;1.61;1.87;1.02;1.59;1.54;1.74;4.96;7.26;8.37;28.8;4.71;3.65;50.79;3.03;5.62;3.47;11.05;15.86;35.37;Ground-dwelling;Forest;21.2;10.17;1573;76;1087;-0.075670331;-0.010516041;-0.015053677;0.105820793;0.025555928;-0.091724582;-0.025089566;-0.042794332;-0.051653435;-0.034383394;-0.05240841;-0.042116769;0.022239038;-0.009399819;0.002190866;-0.121200296;0.048094117;0.07762769;0.048232758;0.007009993;-0.071840393;6.071322682;6.58374144
Micrablepharus_maximiliani;Micrablepharus_maximiliani;6.74;4.25;2.98;1.45;1.76;1.1;1.42;1.39;1.89;4.65;7.33;8.13;26.76;5.08;2.95;55.69;2.71;5;2.96;10.53;15.99;33.5;Ground-dwelling;Savanna;25;7.62;1813;82;532;-0.042969835;0.00904735;-0.045625051;0.100256416;0.001862057;-0.043587769;-0.048232206;-0.062605315;-0.001701547;-0.038883893;-0.024847579;-0.033056085;0.014203732;0.045313254;-0.061778399;-0.056265134;0.025949319;0.052402033;-0.005621253;0.007552069;-0.048757341;4.306817182;4.501419549
Neusticurus_bicarinatus;Neusticurus_bicarinatus;20.47;11.2;10.25;3.28;2.98;1.61;4.72;5.11;2.97;14.37;21.91;23;71.7;14.57;12.08;157.06;8.96;11.31;5.89;30.29;48.06;92.17;Semi-aquatic;Forest;25.1;7.7;1943;78;334;0.024608251;-0.010441599;0.017393003;-0.057935168;-0.049149332;-0.164056851;-0.010391976;0.042673005;-0.066994384;0.012730871;0.014812449;0.014338561;-0.002540373;0.095411871;0.019411501;-0.07059906;0.054722187;-0.068990964;0.010291451;0.066272276;0.065140946;-2.888936144;-5.365316352
Neusticurus_tatei;Neusticurus_tatei;17.81;10.18;9.58;3.27;3.33;1.91;4.43;4.24;2.84;13.27;19.56;19.97;58.39;13.33;10.81;161.79;7.23;10.77;5.2;27.77;44.82;76.2;Semi-aquatic;Forest;25.4;4.4;1942;60;354;0.042151928;0.030868146;0.077050894;0.063029269;0.025761998;-0.036099604;0.053026893;0.048122191;-0.037253929;0.060562365;0.047484253;0.028986589;-0.008102749;0.13339213;0.071008842;0.029636223;0.053779075;-0.000771159;0.009366872;0.103777393;0.103268154;-16.87363838;0.56501056
Nothobachia_ablephara;Nothobachia_ablephara;5.06;2.67;2.25;1;1.3;1.27;1.16;0.86;1;3.25;5.22;6;41.51;2.64;1.79;42.21;1.9;1;2.43;1;6.64;46.57;Fossorial;Savanna;24.2;17.31;531;41;300;-0.302512797;-0.336143428;-0.321768447;-0.15723813;-0.291492213;-0.074231161;-0.293532389;-0.420882375;-0.36330389;-0.337138753;-0.314149153;-0.296566801;0.060105912;-0.37157724;-0.451593233;-0.327850571;-0.287933953;-0.801457479;-0.183387491;-1.14511589;-0.548923165;112.1385283;11.37579638
Pholidobolus_montium;Pholidobolus_montium;9.64;5.9;4.89;2.04;1.97;1.5;2.45;2.51;2.26;6.66;11.3;12.37;38.44;7.67;6.45;98.59;4.4;6.79;4.44;17.08;25.36;48.08;Ground-dwelling;Forest;15.1;1.89;1181;46;2576;-0.035666851;-0.005685278;0.000429443;0.011086489;0.005352573;-0.010957715;0.015921758;0.029785722;-0.017442932;-0.039369667;0.007516163;0.004906454;0.012713368;0.07876639;0.088370042;0.025918064;0.061298279;0.0154083;0.069469429;0.074755795;0.021580436;-4.42070071;6.334064168
Pholidobolus_vertebralis;Pholidobolus_vertebralis;12.43;7.92;5.91;2.71;2.76;1.9;2.68;2.74;2.38;8.96;14.11;14.57;39.95;8.62;5.75;88.79;4.69;8.89;4.9;22.1;31.65;52.38;Ground-dwelling;Forest;17;1.93;2163;55;1819;0.039613733;0.084921411;0.042634102;0.124784328;0.094370596;0.067507183;0.01394274;0.028919478;-0.017113967;0.052360893;0.067074006;0.04178308;-0.008197107;0.094989614;-0.006467866;-0.058874227;0.047499223;0.092163534;0.088338271;0.1527933;0.086994494;-20.69280793;2.974810706
Pholidoscelis_chrysolaemus;Pholidoscelis_chrysolaemus;28.81;15.08;16.21;4.07;3.36;4.05;8.71;5.92;5.19;22.53;30.52;32.33;79.5;17.84;23.96;240.15;12.86;20.52;5.64;46.26;89.02;108.31;Ground-dwelling;Savanna;25.7;11.17;934;56;136;0.106887159;0.048539467;0.140961189;-0.067496917;-0.020082542;0.190989372;0.178547226;0.033213186;0.133710238;0.138140591;0.089260187;0.097765869;-0.028605593;0.118377714;0.232162447;0.039740727;0.133441616;0.113850809;-0.05365073;0.186380472;0.274804407;-35.08550425;-1.893684124
Pholidoscelis_dorsalis;Pholidoscelis_dorsalis;18.39;9.39;8.84;2.3;1.71;2.3;4.31;4.52;3.59;14;19.27;20.58;47.88;10.03;10.72;183;6.38;11.69;4.35;30.67;62.71;66.27;Ground-dwelling;Terrestrial;22.8;10.68;2100;51;602;0.113305056;0.056530638;0.107458548;-0.173044201;-0.071114235;0.084036904;0.107845579;0.139372326;0.100609838;0.144298038;0.101129314;0.097821741;-0.032927243;0.06607975;0.140640354;0.147233242;0.067138139;0.100479096;-0.029117857;0.202118625;0.299354327;-30.52709426;-12.95432474
Pholidoscelis_erythrocephalus;Pholidoscelis_erythrocephalus;30.59;14.63;17.45;4.38;3.99;4.95;9.22;7.33;6.7;23.15;31.26;33.51;79.91;21.26;24.23;277;14.08;19.08;5.92;50.9;89.27;110.5;Ground-dwelling;Terrestrial;25.8;10.99;1364;30;156;0.124717501;0.026673435;0.163608492;-0.000515668;0.003776466;0.272484709;0.193690684;0.116894623;0.239443764;0.141259531;0.091043427;0.105339108;-0.035168804;0.186486269;0.226525351;0.092548176;0.163100439;0.072839318;-0.0382038;0.219978076;0.268822092;-42.88162604;1.465765738
Pholidoscelis_exsul;Pholidoscelis_exsul;18.84;8.85;9.25;2.38;1.91;2.15;5.08;3.7;3.92;14.58;18.34;20.83;47.92;9.68;13.54;162.5;6.71;10.43;4.64;30.43;61.87;66.76;Ground-dwelling;Terrestrial;25.4;12.45;1803;27;36;0.120784399;0.02760333;0.123701581;-0.127823076;-0.059216792;0.052666503;0.175710441;0.049086438;0.136897414;0.158736581;0.07647426;0.10012324;-0.035802018;0.047688084;0.238198792;0.092253626;0.085469251;0.047485019;-0.003148385;0.195794186;0.29084789;-32.49796029;-9.843318401
Pholidoscelis_fuscatus;Pholidoscelis_fuscatus;37.32;17.99;19.14;5;3.94;2.98;10.77;8.03;6.2;30.08;38.72;39.88;104.47;17.09;27.1;301;14.25;26.29;6.47;61.91;115.39;141.79;Ground-dwelling;Terrestrial;23.6;9.81;2678;31;382;0.10887262;0.007986452;0.087109263;-0.101305262;-0.038628165;-0.018337205;0.141986414;0.043152178;0.141317701;0.146987761;0.076609709;0.081333305;-0.028350677;-0.008723231;0.144314051;0.014173647;0.047460113;0.094815528;-0.069317266;0.206442638;0.290602996;-25.11057291;-14.54489518
Pholidoscelis_lineolatus;Pholidoscelis_lineolatus;11.04;5.9;4.75;1.85;1.34;1.31;2.29;2.91;1.93;8.32;11.26;12.97;34.14;5.44;7.71;96.71;3.69;8.15;3.27;17.49;31.21;45.18;Ground-dwelling;Shrubland;25.5;10.62;892;69;205;0.048727301;0.021380485;0.016918965;-0.132493007;-0.012179262;-0.052203646;0.016330523;0.122288431;-0.069914628;0.084226621;0.032768974;0.050324987;-0.011466635;-0.045381762;0.19850795;0.046116295;0.015026399;0.123948189;-0.045975634;0.109654468;0.134101826;-11.59635145;-11.2679741
Pholidoscelis_maynardi;Pholidoscelis_maynardi;14.07;6.64;5.56;1.63;1.27;1.48;2.57;2.35;2.02;10.93;14.31;14.63;38.78;6.85;9;118.5;4.76;8.31;4.21;22;41.23;52.84;Ground-dwelling;Shrubland;25.8;16.33;706;52;5;0.089852472;0.004560314;0.012030842;-0.215663497;-0.129914435;-0.04345467;-0.008438692;-0.041738358;-0.090599461;0.134885716;0.069420986;0.040075522;-0.024948604;-0.00834753;0.183518909;0.062466103;0.049695237;0.058751526;0.019980164;0.147366726;0.198689126;-12.85740327;-12.34779356
Pholidoscelis_plei;Pholidoscelis_plei;16.14;7.73;7.05;2.55;1.44;2;3.64;4.83;3.35;12.79;14.7;16.98;41.92;6.18;11.3;141.28;5.84;10.65;3.95;23.5;50.39;58.06;Ground-dwelling;Terrestrial;27;11.11;979;31;17;0.110843572;0.029585528;0.071071258;-0.197118157;0.026691311;0.06070092;0.09769468;0.228310758;0.104744584;0.162329454;0.040525745;0.067140694;-0.032536403;-0.090980761;0.232922557;0.095579921;0.092837706;0.122203169;-0.034039079;0.138764611;0.25193443;-26.73988653;-14.29833049
Pholidoscelis_polops;Pholidoscelis_polops;18.15;9.11;8.42;2.84;1.58;2.27;4.6;4.45;3.31;13.88;18.97;20.48;41.2;10.74;11.11;153;6.45;9.81;4.56;25.45;56.56;59.35;Ground-dwelling;Terrestrial;26;11.03;1169;39;84;0.15280852;0.09136393;0.137913509;-0.16522409;0.064664608;0.109489079;0.188846246;0.182733034;0.093848007;0.188329778;0.141811657;0.139755772;-0.049717761;0.140187192;0.214027549;0.120102474;0.125333078;0.07618982;0.022185917;0.164696195;0.294195256;-44.93588977;-9.563860498
Placosoma_cordylinum;Placosoma_cordylinum;8.6;4.26;3.02;1.2;1.27;0.85;1.37;1.63;1.89;5.76;8.79;9.62;25.46;2.88;2.49;74;1.63;4.29;2.72;10.91;15.8;34.06;Ground-dwelling;Forest;20.3;21.61;1563;59;520;0.0560729;0.002855516;-0.047590232;-0.047789955;-0.086967157;-0.160244668;-0.07172495;-0.000969502;-0.005986406;0.046904732;0.046897542;0.033406862;-0.014709522;-0.207832861;-0.144099862;0.059578756;-0.20286794;-0.021905786;-0.0469782;0.016393895;-0.059911722;4.760950455;-24.32620902
Placosoma_glabellum;Placosoma_glabellum;10.55;5.39;4.22;1.36;1.58;1.33;1.91;2.49;1.99;7.65;11.39;12.17;35.08;4.95;4.29;108.87;3.44;5.68;3.38;14.94;20.74;45.63;Ground-dwelling;Forest;17.3;22.93;2404;41;740;0.024947976;-0.022194575;-0.03909884;-0.064729389;-0.149783109;-0.048422999;-0.067209335;0.050088988;-0.059180456;0.043471805;0.033485968;0.018717043;-0.004026048;-0.09036588;-0.061289492;0.093003321;-0.020245391;-0.037521194;-0.034377091;0.037296781;-0.046948023;2.62934561;-11.77254008
Potamites_ecpleopus;Potamites_ecpleopus;14.21;7.89;6.91;2.59;2.22;1.37;3.35;3.02;3.15;8.88;14.63;15.33;45.57;9.34;6.99;96.54;5.35;8.4;4.85;19.92;30.64;59.77;Ground-dwelling;Forest;25;4.31;1622;66;173;0.043635289;0.025854636;0.048780422;-0.020223899;0.021820587;-0.111808238;0.047762247;0.011174021;0.070507954;-0.008701202;0.025951665;0.01115141;-0.009034938;0.076690546;0.009090535;-0.083118923;0.040709123;0.005484361;0.046991629;0.055509688;0.025438184;-9.906544588;-4.190079844
Potamites_strangulatus;Potamites_strangulatus;14.42;8.43;7.08;2.93;2.6;1.75;3.84;3.83;3.13;10.23;16.36;16.96;47.42;9.52;6.78;119.5;5.2;9.44;4.78;24.13;37.46;61.84;Ground-dwelling;Forest;25;4.89;3199;17;278;0.036049971;0.03979297;0.04340751;0.035381375;0.0617469;-0.015108469;0.090773248;0.098887218;0.058941971;0.038014119;0.059827751;0.041436437;-0.006714658;0.071272468;-0.022021564;-0.006088141;0.011856118;0.040168345;0.031160704;0.125316662;0.100471042;-16.62599474;-3.275947644
